ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415103.0000000000000000,1,0,-5.7990921278817289e+07,-3.9036873867230378e+06,3.8796157374306927e+06,-6.5773914991835959e+05,-3.5811299461249216e+06,-1.8440261430482119e+06
de405,2415104.0000000000000000,1,0,-5.8507069829412401e+07,-7.4703003194181565e+06,2.0286162273345534e+06,-3.7612167023667746e+05,-3.5494635251930947e+06,-1.8564045707375980e+06
de405,2415105.0000000000000000,1,0,-5.8746390242744446e+07,-1.0997592864226172e+07,1.6982354486520775e+05,-1.0417506777210771e+05,-3.5027287923870129e+06,-1.8597308562255276e+06
de405,2415106.0000000000000000,1,0,-5.8718801693229422e+07,-1.4471197487832163e+07,-1.6880585555479722e+06,1.5763125095112185e+05,-3.4423091646690802e+06,-1.8546949158701492e+06
de405,2415107.0000000000000000,1,0,-5.8434616438258365e+07,-1.7878075570971511e+07,-3.5369950692899800e+06,4.0897543186519813e+05,-3.3694790826702630e+06,-1.8419438188539250e+06
de405,2415108.0000000000000000,1,0,-5.7904406834688887e+07,-2.1206409024920911e+07,-5.3695756957932878e+06,6.4965474132594292e+05,-3.2854056656579021e+06,-1.8220797140253210e+06
de405,2415109.0000000000000000,1,0,-5.7138898721260399e+07,-2.4445494808330178e+07,-7.1789695995057840e+06,8.7956121139152430e+05,-3.1911527027031174e+06,-1.7956594282895848e+06
de405,2415110.0000000000000000,1,0,-5.6148887268252209e+07,-2.7585644255157940e+07,-8.9588804033844192e+06,1.0986609932204508e+06,-3.0876861660171743e+06,-1.7631952634651312e+06
de405,2415111.0000000000000000,1,0,-5.4945171791878588e+07,-3.0618088414241292e+07,-1.0703502420243386e+07,1.3069770035575081e+06,-2.9758806333628753e+06,-1.7251566210542489e+06
de405,2415112.0000000000000000,1,0,-5.3538506451682188e+07,-3.3534890072245531e+07,-1.2407478801158972e+07,1.5045744429829507e+06,-2.8565261689725327e+06,-1.6819721705104169e+06
de405,2415113.0000000000000000,1,0,-5.1939564162973873e+07,-3.6328862747988567e+07,-1.4065862032179555e+07,1.6915487827411226e+06,-2.7303353407617831e+06,-1.6340323470137189e+06
de405,2415114.0000000000000000,1,0,-5.0158911444394857e+07,-3.8993496675791942e+07,-1.5674077025874224e+07,1.8680158488784316e+06,-2.5979501509674625e+06,-1.5816920211314291e+06
de405,2415115.0000000000000000,1,0,-4.8206992273039706e+07,-4.1522891612168394e+07,-1.7227886919705626e+07,2.0341036708669746e+06,-2.4599487328380723e+06,-1.5252732270559722e+06
de405,2415116.0000000000000000,1,0,-4.6094119332276531e+07,-4.3911696182399511e+07,-1.8723361597812131e+07,2.1899458021567785e+06,-2.3168517224178039e+06,-1.4650678704239377e+06
de405,2415117.0000000000000000,1,0,-4.3830471310192674e+07,-4.6155053414413698e+07,-2.0156848887493040e+07,2.3356758592804782e+06,-2.1691282559093325e+06,-1.4013403629254135e+06
de405,2415118.0000000000000000,1,0,-4.1426095141477674e+07,-4.8248552073652133e+07,-2.1524948339255895e+07,2.4714230625734422e+06,-2.0172015730146321e+06,-1.3343301506762323e+06
de405,2415119.0000000000000000,1,0,-3.8890912285737827e+07,-5.0188183404225513e+07,-2.2824487473989073e+07,2.5973085944528058e+06,-1.8614542278300039e+06,-1.2642541180534360e+06
de405,2415120.0000000000000000,1,0,-3.6234728304448783e+07,-5.1970302891035236e+07,-2.4052500368229188e+07,2.7134426202458683e+06,-1.7022329235331207e+06,-1.1913088595441338e+06
de405,2415121.0000000000000000,1,0,-3.3467245140819021e+07,-5.3591596679049626e+07,-2.5206208445208058e+07,2.8199218418330341e+06,-1.5398529969850783e+06,-1.1156728200649966e+06
de405,2415122.0000000000000000,1,0,-3.0598075625413608e+07,-5.5049052315514013e+07,-2.6283003342831988e+07,2.9168274761288743e+06,-1.3746025858227089e+06,-1.0375083099178378e+06
de405,2415123.0000000000000000,1,0,-2.7636759828816853e+07,-5.6339933515636474e+07,-2.7280431738072697e+07,3.0042235690254946e+06,-1.2067465146621570e+06,-9.5696340464152815e+05
